Name,Discount,New Price,Old Price,Positive Reviews,Number of Reviews
Immersion Pack - Europa Universalis IV: Golden Century,50,17.99,35.99,30.0,399.0
Expansion - Europa Universalis IV: Rights of Man,50,35.99,71.99,71.0,269.0
Expansion - Europa Universalis IV: The Cossacks,50,35.99,71.99,45.0,331.0
Green Project,50,21.99,43.99,88.0,672.0
Calico,15,37.39,43.99,91.0,950.0
Expansion - Europa Universalis IV: Wealth of Nations,50,17.99,35.99,51.0,121.0
Devil Daggers,50,8.99,17.99,96.0,4700.0
Dying Light - Retrowave Bundle,33,7.36,10.99,93.0,270.0
BioShock™ Remastered,67,28.34,85.9,77.0,22821.0
Immersion Pack - Europa Universalis IV: Third Rome,50,17.99,35.99,43.0,222.0
Neo Cab,40,32.39,53.99,86.0,850.0
Expansion - Europa Universalis IV: Common Sense,50,26.99,53.99,52.0,461.0
Expansion - Europa Universalis IV: Mare Nostrum,50,26.99,53.99,41.0,263.0
BAJA: Edge of Control HD,75,29.99,119.99,78.0,192.0
Carmageddon 2: Carpocalypse Now,80,7.19,35.99,84.0,259.0
Palindrome Syndrome: Escape Room,33,24.11,35.99,89.0,88.0
PGA TOUR 2K21,50,134.5,269.0,82.0,2241.0
Odd Realm,25,26.99,35.99,92.0,456.0
Ball 3D,50,1.79,3.59,90.0,664.0
Low Magic Age,60,21.59,53.99,91.0,1878.0
Europa Universalis IV: Collection,58,422.26,1010.28,85.0,64548.0
Evil Genius 2: World Domination,10,128.69,142.99,,
Seen,75,1.79,7.16,93.0,3224.0
Fe,75,17.47,69.9,89.0,114.0
Monster Jam Steel Titans 2,10,112.49,124.99,,
MX vs. ATV Supercross Encore,75,24.99,99.99,54.0,510.0
Content Pack - Europa Universalis IV: Mare Nostrum,50,10.99,21.99,36.0,46.0
Call of Juarez: Bound in Blood,75,9.97,39.9,84.0,1966.0
Metro Simulator,75,18.74,74.99,75.0,531.0
Partisans 1941,20,79.99,99.99,86.0,2375.0
Sakura Dungeon,70,21.59,71.99,91.0,1134.0
Pure Farming 2018,70,20.99,69.99,69.0,722.0
FortressCraft Evolved Complete Pack,81,44.1,230.94,73.0,2452.0
Dead State: Reanimated,75,17.99,71.99,74.0,1767.0
The Healthy Profits Bundle,61,44.08,111.98,77.0,1247.0
Carmageddon TDR 2000,80,3.59,17.99,75.0,181.0
Lumberjack's Dynasty,10,62.99,69.99,72.0,1066.0
Big Pharma,70,26.99,89.99,77.0,1214.0
OutDrive,45,6.04,10.99,78.0,3122.0
Lucy Got Problems,41,17.1,28.99,91.0,488.0
RUNNING WITH RIFLES: EDELWEISS,25,29.99,39.99,66.0,115.0
Aven Colony,75,26.99,107.99,74.0,1193.0
Dying Light Ultimate Collection,50,204.09,404.31,94.0,168554.0
This Is the Police 2,67,19.79,59.99,76.0,3411.0
Iron Danger Supporter Bundle,70,39.93,134.98,79.0,267.0
Hunt: Showdown - Live by the Blade,65,12.59,35.99,85.0,41.0
The Slater,87,7.01,53.99,74.0,435.0
Europa Universalis IV: Digital Extreme Edition Upgrade Pack,50,9.5,19.0,64.0,39.0
